    40/299     7.42G   0.02849   0.01868   0.00449   0.05166       115       640    0.9764    0.9805    0.9769    0.7065   0.04382   0.05123   0.01256
    41/299     7.42G   0.02974   0.01927  0.004119   0.05313       135       640    0.9788    0.9794    0.9753    0.7173   0.04371   0.05324   0.01216
    42/299     7.42G   0.02663   0.01896   0.00365   0.04924       116       640     0.979      0.98    0.9761     0.717    0.0424   0.05229   0.01176
    43/299     7.42G   0.02732   0.01761  0.004076     0.049        43       640    0.9801    0.9815    0.9766    0.7018   0.04255   0.05142   0.01189
    44/299     7.42G   0.02643   0.01941  0.003841   0.04969        56       640    0.9805    0.9756    0.9773    0.7137   0.04345   0.05108   0.01245
    45/299     7.42G   0.02684   0.01812  0.003492   0.04846       109       640    0.9791    0.9822    0.9755    0.7142   0.04356   0.05324   0.01168
    46/299     7.42G   0.02701   0.01872  0.003643   0.04938        74       640    0.9784    0.9806    0.9756    0.7125   0.04519   0.05165   0.01197
    47/299     7.42G    0.0262   0.01924  0.003754    0.0492        78       640    0.9769     0.981    0.9758    0.7348   0.04268   0.05254   0.01223
    48/299     7.42G   0.02677   0.01772  0.004682   0.04916       104       640    0.9767    0.9817    0.9798    0.7323   0.04457   0.05209   0.01212
    49/299     7.42G   0.02613    0.0184   0.00418   0.04871        70       640    0.9795    0.9815    0.9813     0.722   0.04364    0.0521   0.01239
    50/299     7.42G   0.02695   0.01794  0.003558   0.04844       103       640    0.9788    0.9807    0.9799    0.7341   0.04341   0.05113   0.01181
    51/299     7.42G     0.026   0.01886  0.003588   0.04845        70       640    0.9782    0.9819    0.9798    0.7378   0.04218   0.05284    0.0114
    52/299     7.42G   0.02558   0.01733  0.003762   0.04667        50       640     0.977    0.9828    0.9781    0.7258   0.04603   0.05068   0.01137
    53/299     7.42G   0.02609   0.01789  0.003745   0.04773        30       640    0.9789    0.9825    0.9766    0.7433   0.04108   0.05277   0.01179
    54/299     7.42G   0.02612   0.01684  0.003298   0.04625        87       640    0.9794    0.9796    0.9792    0.7427   0.04178   0.05372   0.01209
    55/299     7.42G   0.02621   0.01788  0.003289   0.04738        51       640    0.9777    0.9806    0.9814    0.7416   0.04087   0.05594   0.01177
    56/299     7.42G   0.02627   0.01712  0.003533   0.04693        61       640    0.9777    0.9819    0.9815    0.7475   0.04115   0.05302   0.01156
    57/299     7.42G   0.02429   0.01747  0.003042    0.0448        96       640    0.9532    0.9786    0.9817    0.7472     0.046   0.05118   0.01141
    58/299     7.42G   0.02649   0.01704  0.002797   0.04633        60       640    0.9792    0.9825     0.978    0.7478   0.04231   0.05455    0.0115
    59/299     7.42G   0.02485   0.01669  0.003492   0.04504        41       640    0.9787    0.9825    0.9762     0.764   0.04005    0.0536    0.0117
    60/299     7.42G   0.02469   0.01807  0.003496   0.04625        75       640    0.9802    0.9817    0.9783    0.7548   0.04037   0.05423   0.01119
    61/299     7.42G   0.02528   0.01834  0.003122   0.04674        68       640    0.9774    0.9817    0.9814    0.7412   0.04093   0.05591    0.0113
    62/299     7.42G   0.02408   0.01688  0.002941   0.04389        80       640    0.9762    0.9822    0.9852    0.7591   0.03918   0.05533   0.01129
    63/299     7.42G   0.02564   0.01896  0.003257   0.04786        60       640    0.9793    0.9799    0.9843    0.7448   0.04013   0.05356   0.01125
    64/299     7.42G   0.02528   0.01747  0.002519   0.04527        70       640    0.9785    0.9815    0.9826    0.7541   0.03998   0.05621   0.01154
    65/299     7.42G   0.02467    0.0176  0.003274   0.04554        79       640    0.9766    0.9819    0.9828    0.7531   0.04019   0.05679   0.01134
    66/299     7.42G    0.0241   0.01724   0.00357   0.04491        42       640    0.9786    0.9828    0.9829    0.7648   0.03738    0.0552   0.01168
    67/299     7.42G    0.0248   0.01853  0.002972    0.0463        40       640    0.9808    0.9808    0.9828    0.7549   0.03935   0.05537   0.01124
    68/299     7.42G   0.02368   0.01703   0.00317   0.04388       101       640    0.9793    0.9826    0.9835    0.7624   0.03848   0.05684   0.01162
    69/299     7.42G   0.02442   0.01798  0.003001    0.0454        56       640    0.9781    0.9826    0.9845    0.7682   0.03912    0.0566    0.0117
    70/299     7.42G   0.02362   0.01765  0.003625    0.0449       103       640    0.9777    0.9801    0.9839    0.7663    0.0382   0.05584   0.01214
    71/299     7.42G   0.02433   0.01711  0.003161    0.0446        51       640    0.9782    0.9794    0.9855    0.7593    0.0395    0.0554   0.01156
    72/299     7.42G   0.02474   0.01702  0.002642    0.0444       149       640    0.9777    0.9815    0.9856    0.7531   0.03932   0.05689   0.01138
    73/299     7.42G   0.02355   0.01732  0.003009   0.04388        73       640    0.9793    0.9809    0.9859    0.7619   0.03857   0.05631   0.01123
    74/299     7.42G   0.02399   0.01661  0.002418   0.04302        65       640    0.9778    0.9808    0.9836    0.7683   0.04077   0.05685   0.01127
    75/299     7.42G   0.02306   0.01629  0.002888   0.04224        56       640    0.9793    0.9791    0.9816    0.7683   0.03822    0.0567   0.01129
    76/299     7.42G   0.02425   0.01756  0.003372   0.04518        43       640    0.9773    0.9825    0.9829    0.7594   0.03797    0.0563   0.01172
    77/299     7.42G   0.02369   0.01657  0.002703   0.04297        66       640     0.976    0.9836     0.984    0.7725   0.03798   0.05647   0.01176
    78/299     7.42G   0.02202   0.01687   0.00263   0.04151        64       640     0.981    0.9818    0.9821    0.7623   0.03742   0.05658   0.01164
    79/299     7.42G   0.02314   0.01584  0.002836   0.04181        72       640     0.979    0.9824    0.9812    0.7534   0.03789   0.05727   0.01136
